"loop","adjustment","price_mean","price_avg_range","price_avg_std","abs_spread_pct_mean","abs_spread_pct_avg_range","abs_spread_pct_avg_std","abs_spread_pct_adj_mean","abs_spread_pct_adj_avg_range","abs_spread_pct_adj_avg_std","abs_line_flow_adj_mean","abs_line_flow_adj_avg_range","abs_line_flow_adj_avg_std","abs_line_flow_change_mean","abs_line_flow_change_avg_range","abs_line_flow_change_avg_std"
0,0.0000,215.0759,499.0336,228.8266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1431.6611,5500.0000,1414.5998
1,0.6000,168.0064,480.3858,187.8059,0.5080,0.9968,0.3881,0.5080,0.9968,0.3881,491.1587,2989.3374,704.5161,352.9574,2317.6836,540.6399
2,0.5000,188.1465,476.5847,204.1625,0.4923,0.9616,0.3410,0.4923,0.9616,0.3410,385.1767,1880.5518,472.4608,279.3371,1475.4351,404.8869
3,0.4500,160.6723,468.4745,182.7197,0.4973,0.9656,0.3504,0.4973,0.9656,0.3504,359.1039,1775.0366,454.0994,252.8337,1373.1654,369.4538
4,0.4000,171.8355,458.1360,189.3949,0.4870,0.9667,0.3438,0.4870,0.9667,0.3438,313.6175,1520.6666,391.3996,221.3153,1230.0207,336.5762
5,0.3500,154.1148,450.2229,175.0659,0.4796,0.9620,0.3449,0.4796,0.9620,0.3449,266.0042,1331.0811,336.7285,187.8615,1031.1102,282.5930
6,0.3000,161.4387,441.7774,179.5910,0.4713,0.9682,0.3432,0.4713,0.9682,0.3432,222.8251,1122.5832,284.1402,151.8624,880.4910,236.9327
7,0.2700,145.3950,435.8103,167.3254,0.4549,0.9557,0.3401,0.4549,0.9557,0.3401,193.5782,997.3592,249.1872,130.2107,775.6811,206.7677
8,0.2500,154.9793,436.7264,173.6433,0.4451,0.9642,0.3368,0.4451,0.9642,0.3368,177.1069,923.4833,231.0057,113.0371,702.0871,183.9630
9,0.2300,141.7876,425.5095,161.4859,0.4507,0.9514,0.3348,0.4507,0.9514,0.3348,161.9054,843.6125,209.4317,104.5500,647.7842,171.0860
10,0.2100,145.8374,428.2638,165.6210,0.4388,0.9539,0.3297,0.4388,0.9539,0.3297,144.7993,765.6830,189.3658,92.5901,594.9014,154.6642
11,0.1900,137.8737,414.1779,157.3780,0.4384,0.9407,0.3242,0.4384,0.9407,0.3242,131.3487,691.5305,171.1611,83.0728,528.0902,138.9314
12,0.1700,138.9424,409.1862,156.3898,0.4155,0.9409,0.3195,0.4155,0.9409,0.3195,112.9665,613.8874,151.6296,71.1422,475.8906,122.8953
13,0.1500,134.3514,397.1677,150.8106,0.4207,0.9283,0.3140,0.4207,0.9283,0.3140,100.0774,535.0195,131.4654,62.5861,415.0474,107.7751
14,0.1300,135.0318,392.7845,150.4864,0.3979,0.9186,0.3065,0.3979,0.9186,0.3065,83.0632,456.0939,112.3951,52.5865,368.5711,93.8232
15,0.1100,133.5232,394.6321,151.1620,0.3904,0.8973,0.2972,0.3904,0.8973,0.2972,69.1635,384.1934,93.2048,43.6990,324.3121,80.8431
16,0.1000,133.0196,392.7543,149.1746,0.3678,0.8828,0.2908,0.3678,0.8828,0.2908,61.0208,345.2510,84.8007,35.9078,262.2596,66.0698
17,0.0900,130.4627,382.3362,146.0622,0.3632,0.8709,0.2864,0.3632,0.8709,0.2864,54.5647,309.6773,74.9596,32.8203,248.0447,61.8792
18,0.0800,130.8368,377.8185,144.5924,0.3506,0.8608,0.2833,0.3506,0.8608,0.2833,47.3269,272.9561,66.9490,27.8178,211.9488,52.7610
19,0.0700,128.3175,369.7614,141.9001,0.3453,0.8440,0.2792,0.3453,0.8440,0.2792,40.9140,236.8786,57.0859,24.1804,189.7052,46.7373
20,0.0600,129.8507,370.4827,142.2118,0.3361,0.8318,0.2759,0.3361,0.8318,0.2759,34.5951,200.5491,49.2626,20.3469,164.1414,39.9450
21,0.0500,126.3238,361.6865,138.5378,0.3372,0.8254,0.2738,0.3372,0.8254,0.2738,28.7930,167.3858,40.4611,17.0861,141.2116,34.1711
22,0.0400,128.6783,360.8798,139.5706,0.3250,0.8182,0.2708,0.3250,0.8182,0.2708,22.4720,132.5730,32.3809,13.1093,107.2999,26.1416
23,0.0300,125.8245,357.6417,137.2906,0.3277,0.8144,0.2703,0.3277,0.8144,0.2703,16.9287,99.9236,24.0904,10.0485,86.0909,20.6393
24,0.0200,127.3755,358.5485,138.3607,0.3196,0.8119,0.2691,0.3196,0.8119,0.2691,11.0886,65.8633,16.1163,6.8653,62.2655,14.6654
25,0.0100,124.9418,355.3445,136.3579,0.3204,0.8100,0.2682,0.3204,0.8100,0.2682,5.5394,32.9655,7.9587,3.6075,36.1576,8.2697
26,0.0100,126.8552,357.2233,137.2771,0.3114,0.8031,0.2663,0.3114,0.8031,0.2663,5.4179,32.5655,7.9290,3.0870,27.5916,6.5404
27,0.0050,124.9661,355.8499,136.1650,0.3183,0.8045,0.2661,0.3183,0.8045,0.2661,2.7403,16.3374,3.9307,1.9600,22.1419,4.8813
28,0.0050,126.7086,356.7739,137.3027,0.3094,0.8008,0.2646,0.3094,0.8008,0.2646,2.6870,16.1837,3.9417,1.6899,18.4375,4.1037
29,0.0030,124.8829,356.1517,136.2404,0.3173,0.8072,0.2667,0.3173,0.8072,0.2667,1.6439,9.8433,2.3672,1.1882,13.9049,3.0281
30,0.0020,126.9594,358.3498,137.8035,0.3089,0.8008,0.2645,0.3089,0.8008,0.2645,1.0747,6.4758,1.5767,1.1122,18.5148,3.7285
