"loop","adjustment","price_mean","price_avg_range","price_avg_std","abs_spread_pct_mean","abs_spread_pct_avg_range","abs_spread_pct_avg_std","abs_spread_pct_adj_mean","abs_spread_pct_adj_avg_range","abs_spread_pct_adj_avg_std","abs_line_flow_adj_mean","abs_line_flow_adj_avg_range","abs_line_flow_adj_avg_std","abs_line_flow_change_mean","abs_line_flow_change_avg_range","abs_line_flow_change_avg_std"
0,0.0000,215.0759,499.0336,228.8266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1431.6611,5500.0000,1414.5998
1,0.6000,170.3573,476.3023,191.3618,3.8101,50.9280,10.4268,0.3872,0.9968,0.3403,431.4400,2989.3374,696.5953,320.0394,2346.9137,534.1986
2,0.5000,183.4473,477.2217,202.3505,2.8850,39.8673,8.0307,0.3408,0.9380,0.2796,309.1074,1852.7268,451.3025,220.8519,1590.1891,390.0155
3,0.4500,165.8521,449.6256,181.0832,2.0642,21.1099,4.5599,0.3622,0.9376,0.2928,299.1440,1813.6108,442.8425,213.5539,1495.6814,361.6341
4,0.4000,170.6901,459.4207,189.1224,2.4110,28.0454,5.8883,0.3459,0.9333,0.2854,248.7274,1536.8673,368.6086,176.5497,1270.5035,308.5618
5,0.3500,155.3225,430.9907,171.7752,28.6633,689.8665,128.2390,0.3427,0.9246,0.2790,219.5247,1319.5546,323.2137,148.8806,1050.1588,258.4842
6,0.3000,159.7857,439.8726,176.8016,1.7403,16.8571,3.7290,0.3203,0.9126,0.2615,172.2791,1107.7414,259.7138,117.3542,898.5629,213.1356
7,0.2700,152.4074,413.0925,166.6258,1.7023,15.0189,3.5259,0.3243,0.9053,0.2629,156.7064,927.9039,228.2526,98.3271,719.0408,175.8017
8,0.2500,154.5347,429.3760,170.2511,1.5055,12.2045,2.9326,0.2990,0.8973,0.2506,133.2632,863.5904,203.8489,84.4807,639.8069,154.0230
9,0.2300,149.0926,404.3841,162.8760,1.6387,14.2228,3.4206,0.3101,0.8964,0.2586,126.1738,747.4242,183.8614,75.1826,565.4680,137.4171
10,0.2100,151.4124,422.6614,167.5461,1.4825,12.0600,2.9129,0.2978,0.8907,0.2493,111.3440,712.2054,169.3292,67.6395,539.4196,128.4864
11,0.1900,146.9322,405.1822,161.5462,1.4866,11.9129,2.9471,0.3040,0.8902,0.2560,103.0612,624.6635,152.0832,59.9512,474.2209,113.9680
12,0.1700,148.6767,421.2850,165.1343,1.4006,10.9822,2.7132,0.2959,0.8815,0.2494,89.0195,576.2056,135.8596,52.8874,442.8833,103.7970
13,0.1500,143.2527,400.1644,157.5611,1.4236,11.5096,2.8280,0.3004,0.8801,0.2540,79.6519,482.9633,116.8852,45.3033,364.5284,87.5517
14,0.1300,143.0714,407.9826,157.9099,1.3272,10.3473,2.5697,0.2956,0.8723,0.2498,67.4384,425.3295,101.5121,38.8990,322.3458,77.1608
15,0.1100,139.4184,390.5380,153.7357,1.3289,10.8091,2.6538,0.2977,0.8694,0.2512,56.9869,343.1592,82.9281,32.3444,263.2845,63.3644
16,0.1000,139.3722,397.9016,153.5399,1.2615,9.9649,2.4830,0.2921,0.8593,0.2463,50.9196,320.1948,76.4252,28.9292,243.6681,57.7920
17,0.0900,137.3622,383.9748,151.0640,1.2529,10.2172,2.5257,0.2963,0.8594,0.2489,46.1484,277.3307,67.0280,25.8546,209.4717,50.7864
18,0.0800,137.4230,390.3278,150.7212,1.2098,9.4989,2.3938,0.2903,0.8487,0.2450,40.5515,254.1922,60.8716,22.9412,194.0890,46.2318
19,0.0700,134.6523,377.1609,148.0144,1.1925,9.6117,2.4153,0.2875,0.8393,0.2432,34.9704,211.7689,50.9840,19.3563,161.6357,38.7707
20,0.0600,135.1401,378.8168,147.1333,1.1635,9.0480,2.3174,0.2809,0.8308,0.2396,29.5545,188.4236,44.7735,16.7181,147.2849,34.6177
21,0.0500,132.2026,374.5649,145.7147,1.1246,8.9622,2.2702,0.2823,0.8291,0.2396,24.5681,150.0805,35.9935,13.6038,114.8326,27.4668
22,0.0400,132.9145,376.9353,145.3425,1.1191,8.6630,2.2384,0.2778,0.8298,0.2396,19.4296,123.0119,29.3964,10.9898,98.2685,23.0137
23,0.0300,132.5541,377.9251,147.1022,1.0975,8.7830,2.2426,0.2776,0.8183,0.2376,14.4617,88.5520,21.2558,9.2254,101.7389,22.1764
24,0.0200,133.4094,377.7046,146.3747,1.0734,8.3215,2.1549,0.2771,0.8314,0.2415,9.7998,61.7149,14.9018,5.9255,58.1578,13.2035
25,0.0100,131.1338,375.1024,145.7243,1.0703,8.5908,2.1917,0.2766,0.8251,0.2390,4.8134,29.6039,7.1130,2.9627,29.0488,6.6344
26,0.0100,132.7954,376.9677,145.4271,1.0548,8.1855,2.1310,0.2712,0.8277,0.2388,4.7392,29.7865,7.1912,2.6271,24.5600,5.6560
27,0.0050,131.6451,375.7046,146.2412,1.0703,8.6200,2.1910,0.2755,0.8160,0.2372,2.3820,14.5647,3.5015,1.9984,28.5180,5.8552
28,0.0050,132.5538,375.9454,145.0796,1.0365,8.1713,2.1030,0.2718,0.8230,0.2387,2.4093,15.2122,3.6861,1.3768,13.4955,3.0756
29,0.0030,130.8035,375.9911,145.4457,1.0715,8.5304,2.1822,0.2756,0.8162,0.2365,1.4354,8.7966,2.1104,0.9680,10.7104,2.3648
30,0.0020,132.6302,376.3243,145.2328,1.0368,8.1435,2.1034,0.2688,0.8189,0.2362,0.9422,5.9161,1.4281,0.7717,11.0817,2.2844
