"loop","adjustment","price_mean","price_avg_range","price_avg_std","abs_spread_pct_mean","abs_spread_pct_avg_range","abs_spread_pct_avg_std","abs_spread_pct_adj_mean","abs_spread_pct_adj_avg_range","abs_spread_pct_adj_avg_std","abs_line_flow_adj_mean","abs_line_flow_adj_avg_range","abs_line_flow_adj_avg_std","abs_line_flow_change_mean","abs_line_flow_change_avg_range","abs_line_flow_change_avg_std"
0,0.0000,215.0759,499.0336,228.8266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1431.6611,5500.0000,1414.5998
1,0.6000,168.2331,480.6565,191.3764,3.8101,50.9280,10.4268,0.4597,0.9986,0.3561,413.4571,2154.7107,536.2445,311.9557,1809.7361,441.7390
2,0.5000,186.3708,483.8619,206.7855,2.6089,36.5215,7.2624,0.4735,0.9944,0.3344,362.0390,1651.8663,436.8563,275.8638,1386.4495,392.8023
3,0.4500,155.6490,476.3910,184.5815,358.2481,8497.1150,1566.7226,0.4704,0.9931,0.3338,324.0353,1523.7804,392.7781,232.3996,1224.7863,334.1396
4,0.4000,163.3616,475.4237,189.6694,2.7698,43.6230,8.3949,0.4573,0.9876,0.3194,280.9141,1308.8918,342.2435,191.3371,1046.0489,283.9695
5,0.3500,148.8663,461.0646,177.1753,2.0775,24.7671,5.1360,0.4446,0.9847,0.3229,239.9004,1156.4997,293.7164,172.2059,927.4735,253.2432
6,0.3000,151.3503,444.4321,174.4924,2.2830,32.2433,6.3888,0.4410,0.9847,0.3162,201.1378,957.3687,245.9561,138.9276,771.8286,208.6535
7,0.2700,142.1565,440.3358,168.6580,1.7397,19.7181,4.1230,0.4272,0.9701,0.3118,176.3466,864.4137,216.8228,121.3442,665.8984,183.1979
8,0.2500,143.3821,433.2874,166.6862,1.7281,21.0517,4.3358,0.4176,0.9678,0.3062,158.0237,787.6917,197.2110,107.7798,653.0096,170.3722
9,0.2300,138.6008,425.1553,162.1853,1.5479,17.9814,3.7379,0.4129,0.9654,0.3056,145.3849,732.8870,182.2687,96.5456,575.7571,153.8685
10,0.2100,138.7386,423.3564,160.6807,1.4748,16.5826,3.4693,0.4101,0.9649,0.3058,130.7255,665.8205,166.0462,86.7265,548.5372,142.3334
11,0.1900,132.7401,410.3511,154.7703,1.3680,14.5090,3.0828,0.4075,0.9570,0.2996,118.1333,601.9322,148.8752,76.8737,482.4339,127.0643
12,0.1700,134.1555,411.8167,155.1707,1.2821,12.9709,2.7951,0.3957,0.9469,0.2950,102.0099,528.4000,130.8353,67.5504,448.6699,114.6634
13,0.1500,132.7409,411.0294,155.7727,1.1667,11.5456,2.5066,0.3863,0.9385,0.2903,89.8882,469.6043,115.1659,58.4545,396.7411,101.4074
14,0.1300,132.7783,405.6805,153.3756,1.1115,10.2485,2.3001,0.3756,0.9317,0.2865,75.7445,399.8143,99.0909,48.1013,328.8391,84.0518
15,0.1100,127.3002,393.3672,147.8155,0.9959,8.6623,2.0075,0.3590,0.9050,0.2773,62.5997,335.9754,82.0601,39.5920,281.4121,71.2244
16,0.1000,129.5694,390.4617,147.9132,0.9116,7.4447,1.7677,0.3442,0.8922,0.2719,54.4427,300.4200,73.1296,34.2551,266.2007,64.7575
17,0.0900,126.9442,387.0856,146.7677,0.8821,7.2905,1.7289,0.3410,0.8790,0.2683,49.7408,273.4422,66.4275,30.6712,229.2547,57.1482
18,0.0800,127.5417,378.3474,143.8195,0.8778,7.0134,1.6970,0.3328,0.8737,0.2670,42.8596,239.5298,58.1484,26.8404,213.6024,51.6331
19,0.0700,126.8379,382.7029,145.8016,0.8390,6.8726,1.6437,0.3273,0.8571,0.2629,37.2270,208.4522,50.3814,23.0536,190.8021,45.7934
20,0.0600,126.8738,376.9700,142.8379,0.8424,6.6901,1.6302,0.3213,0.8517,0.2627,31.5062,180.2686,43.6735,19.2120,154.0046,37.4003
21,0.0500,126.5596,376.5390,144.0990,0.8101,6.5421,1.5824,0.3184,0.8367,0.2565,26.1549,146.8080,35.5167,15.8304,129.4564,31.4519
22,0.0400,126.5510,373.6186,141.8988,0.8273,6.4137,1.5871,0.3141,0.8328,0.2587,20.5498,118.6682,28.6781,12.6827,111.5065,26.1993
23,0.0300,125.8960,375.4563,143.3760,0.7848,6.3492,1.5403,0.3106,0.8207,0.2525,15.3656,87.1671,21.0954,9.4441,82.8561,19.5747
24,0.0200,126.1381,370.6409,141.2436,0.8067,6.3176,1.5652,0.3072,0.8258,0.2567,10.1241,59.4653,14.2683,6.3262,55.8549,13.1452
25,0.0100,125.7600,374.9395,142.8282,0.7759,6.2962,1.5285,0.3038,0.8118,0.2496,5.0161,29.0274,6.9542,3.3082,32.8951,7.4616
26,0.0100,125.4973,368.6582,140.1474,0.7841,6.1812,1.5228,0.3007,0.8062,0.2510,4.9717,29.2467,7.0317,3.1966,32.0311,7.2612
27,0.0050,125.6428,374.5063,142.5450,0.7591,6.2126,1.4910,0.3039,0.8064,0.2485,2.5092,14.4552,3.4736,1.8168,19.9093,4.4174
28,0.0050,125.4079,369.0619,140.0814,0.7716,6.1273,1.5031,0.2985,0.8073,0.2503,2.4687,14.5817,3.4992,1.6765,19.3079,4.1891
29,0.0030,125.5620,374.4180,142.2527,0.7662,6.2801,1.5076,0.3041,0.8095,0.2486,1.5055,8.7054,2.0857,1.0858,12.0621,2.6525
30,0.0020,125.1670,372.1417,140.8451,0.7723,6.1222,1.5028,0.2984,0.8055,0.2494,0.9839,5.8045,1.3912,0.7442,9.1825,1.9514
