"loop","adjustment","price_mean","price_avg_range","price_avg_std","abs_spread_pct_mean","abs_spread_pct_avg_range","abs_spread_pct_avg_std","abs_spread_pct_adj_mean","abs_spread_pct_adj_avg_range","abs_spread_pct_adj_avg_std","abs_line_flow_adj_mean","abs_line_flow_adj_avg_range","abs_line_flow_adj_avg_std","abs_line_flow_change_mean","abs_line_flow_change_avg_range","abs_line_flow_change_avg_std"
0,0.0000,35.9389,120.9224,34.7894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1037.8770,4585.0417,1148.1255
1,0.6000,34.4439,83.3019,24.9390,0.4142,0.9085,0.3081,0.4142,0.9085,0.3081,525.8862,2587.7089,724.7790,470.1529,2579.3990,668.7582
2,0.5000,36.3658,104.1880,29.9403,0.3665,0.7740,0.2492,0.3665,0.7740,0.2492,337.2046,1876.5743,438.0641,310.4998,1407.2851,372.3781
3,0.4500,35.1164,100.9120,28.2404,0.4032,0.8344,0.2823,0.4032,0.8344,0.2823,335.6565,1869.0896,441.7242,320.0803,1771.8916,420.8804
4,0.4000,34.4812,85.6691,24.2291,0.4002,0.8613,0.2851,0.4002,0.8613,0.2851,305.8112,1935.6241,423.7287,275.1091,1741.0657,392.2636
5,0.3500,32.8387,79.5486,22.1678,0.3803,0.8098,0.2736,0.3803,0.8098,0.2736,249.2374,1493.9025,341.0132,228.6208,1481.2864,334.3307
6,0.3000,32.4564,67.2601,19.3615,0.3708,0.8252,0.2636,0.3708,0.8252,0.2636,212.6048,1357.4421,297.4843,181.9449,1297.4595,284.4138
7,0.2700,31.7383,71.6189,19.9946,0.3452,0.7594,0.2520,0.3452,0.7594,0.2520,170.4852,1042.8108,236.1666,146.2442,1015.8722,228.3016
8,0.2500,32.5534,67.3859,18.7212,0.3534,0.7858,0.2571,0.3534,0.7858,0.2571,167.1640,1106.7754,238.0229,133.3261,983.6760,215.9899
9,0.2300,31.7265,64.7583,18.3860,0.3400,0.7671,0.2572,0.3400,0.7671,0.2572,143.6260,895.4111,200.2645,118.3522,885.4331,194.3856
10,0.2100,30.9135,50.0981,14.8192,0.3431,0.7696,0.2488,0.3431,0.7696,0.2488,135.7077,893.2938,192.3984,107.0121,859.0665,183.1216
11,0.1900,31.7592,61.7054,17.0368,0.3177,0.7105,0.2376,0.3177,0.7105,0.2376,110.5906,677.3828,153.1330,89.1044,659.0779,147.2724
12,0.1700,31.4404,52.0583,14.9103,0.3130,0.7482,0.2415,0.3130,0.7482,0.2415,102.3429,688.1007,149.4624,76.7190,650.8059,138.9682
13,0.1500,31.2938,56.0615,15.8149,0.3016,0.7060,0.2387,0.3016,0.7060,0.2387,83.0636,513.4487,116.7705,63.1903,502.9726,110.6823
14,0.1300,31.2099,47.2041,13.5130,0.3032,0.7166,0.2355,0.3032,0.7166,0.2355,73.7217,495.0004,106.9698,54.0323,484.6009,101.2737
15,0.1100,31.6674,52.6031,14.5747,0.2807,0.6793,0.2303,0.2807,0.6793,0.2303,56.8269,360.7185,81.9350,41.7308,347.2726,76.1305
16,0.1000,30.8426,44.3136,12.9115,0.2761,0.6757,0.2283,0.2761,0.6757,0.2283,50.7211,347.3979,75.5760,35.7366,343.8348,70.6733
17,0.0900,31.5821,50.0263,13.9485,0.2711,0.6579,0.2293,0.2711,0.6579,0.2293,44.6871,287.8698,65.2559,32.2891,281.7503,60.8157
18,0.0800,30.7028,40.3615,11.8843,0.2658,0.6566,0.2254,0.2658,0.6566,0.2254,38.3433,261.4326,56.8549,26.7843,257.6888,52.6026
19,0.0700,31.5147,49.3156,13.6495,0.2632,0.6390,0.2246,0.2632,0.6390,0.2246,32.8070,200.2739,46.6706,23.3045,196.0046,42.9025
20,0.0600,30.8086,40.5754,11.8609,0.2570,0.6528,0.2213,0.2570,0.6528,0.2213,28.3396,195.7335,42.4797,19.9490,192.9432,39.6596
21,0.0500,31.6461,49.2610,13.6386,0.2570,0.6358,0.2235,0.2570,0.6358,0.2235,23.0128,148.9031,33.8356,16.3070,144.0910,30.9105
22,0.0500,30.7541,40.0361,11.6820,0.2568,0.6432,0.2224,0.2568,0.6432,0.2224,23.2332,157.2458,34.6401,15.8326,154.3094,31.6281
23,0.0500,31.5313,48.8207,13.5530,0.2548,0.6310,0.2219,0.2548,0.6310,0.2219,22.7212,147.2482,33.4073,15.9836,143.8353,30.6387
24,0.0400,30.7109,39.9606,11.7296,0.2535,0.6439,0.2211,0.2535,0.6439,0.2211,18.6004,128.8702,28.0915,12.8270,126.4946,25.8665
25,0.0400,31.5426,49.4198,13.5710,0.2547,0.6283,0.2234,0.2547,0.6283,0.2234,18.2713,117.2706,26.7633,12.6737,113.9659,24.3804
26,0.0400,30.5360,39.9237,11.7946,0.2587,0.6460,0.2240,0.2587,0.6460,0.2240,18.8083,129.3328,28.2466,12.8801,126.6518,26.0094
27,0.0300,31.3516,44.5172,12.7073,0.2593,0.6329,0.2248,0.2593,0.6329,0.2248,13.7637,89.9394,20.2140,9.5630,87.4773,18.5011
28,0.0200,30.7418,39.2868,11.6182,0.2455,0.6238,0.2201,0.2455,0.6238,0.2201,8.7765,59.5871,13.1821,5.8401,58.2561,11.9423
29,0.0100,31.5950,43.9409,12.5577,0.2520,0.6270,0.2235,0.2520,0.6270,0.2235,4.5103,29.1049,6.6413,3.0898,28.6547,6.0944
30,0.0100,30.6749,39.5072,11.6923,0.2375,0.6166,0.2191,0.2375,0.6166,0.2191,4.1349,27.1106,6.1416,2.6259,25.3916,5.2689
