"loop","adjustment","price_mean","price_avg_range","price_avg_std","abs_spread_pct_mean","abs_spread_pct_avg_range","abs_spread_pct_avg_std","abs_spread_pct_adj_mean","abs_spread_pct_adj_avg_range","abs_spread_pct_adj_avg_std","abs_line_flow_adj_mean","abs_line_flow_adj_avg_range","abs_line_flow_adj_avg_std","abs_line_flow_change_mean","abs_line_flow_change_avg_range","abs_line_flow_change_avg_std"
0,0.0000,35.9389,120.9224,34.7894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1037.8770,4585.0417,1148.1255
1,0.6000,34.6857,86.2903,25.5822,0.5247,1.8718,0.4894,0.3893,0.9097,0.3094,516.3789,2593.2071,735.1290,462.1225,2571.5659,677.9873
2,0.5000,35.9179,100.1603,29.7554,0.5755,3.0106,0.6883,0.3587,0.8748,0.2657,343.8081,1938.1255,464.1459,321.3850,1714.6360,418.3894
3,0.4500,34.2520,87.3745,25.4390,0.6203,2.8241,0.6907,0.3703,0.8524,0.2774,326.9665,1710.3477,437.3861,304.2963,1682.6173,420.2362
4,0.4000,32.9108,80.0409,22.2455,0.7760,4.8249,1.1008,0.3334,0.8799,0.2654,256.3320,1509.8206,359.8565,226.5269,1441.7776,341.6153
5,0.3500,32.2211,73.2292,20.7800,0.6200,3.5366,0.8216,0.3367,0.8386,0.2717,212.7548,1116.0572,287.2377,183.5631,1067.3378,270.2778
6,0.3000,32.3587,69.5988,19.4114,0.6378,3.9603,0.8729,0.3243,0.8852,0.2608,176.4275,992.2159,237.3931,148.4744,940.3136,224.4135
7,0.2700,31.2959,65.9842,18.6212,0.6103,3.9935,0.8734,0.3218,0.8540,0.2614,152.7154,811.5838,205.2320,131.0518,767.8814,193.2171
8,0.2500,31.1183,60.5356,17.3678,0.5883,3.6127,0.7756,0.3327,0.8958,0.2666,146.6952,864.7210,200.8866,121.6490,794.2036,186.7524
9,0.2300,31.5289,66.5174,18.7317,0.5074,2.9088,0.6517,0.3197,0.8661,0.2624,132.6962,730.7747,181.7337,108.0362,687.5986,167.8107
10,0.2100,31.6130,58.5990,16.2978,0.6008,4.0573,0.8588,0.3119,0.8708,0.2557,118.7731,701.7404,166.5213,96.6364,661.9352,155.9487
11,0.1900,31.1566,62.1832,17.2680,0.5030,3.3075,0.7016,0.2971,0.8305,0.2483,101.2077,557.5707,139.4871,80.2648,533.2683,128.3591
12,0.1700,31.3598,56.0513,16.0021,0.4891,2.9064,0.6403,0.3032,0.8632,0.2546,92.0796,552.8782,129.9070,73.0492,512.0220,119.2326
13,0.1500,30.7090,53.3790,15.3870,0.4652,2.8413,0.6172,0.2947,0.8256,0.2494,79.7735,401.5385,105.6323,61.8225,378.9328,95.5394
14,0.1300,31.3486,52.3951,14.9704,0.4859,2.9628,0.6353,0.3035,0.8477,0.2501,70.9150,420.9592,99.1476,56.0183,395.0000,91.8915
15,0.1100,30.1444,46.2543,13.6323,0.4295,2.6815,0.5815,0.2727,0.7931,0.2382,52.3631,275.8704,71.4779,38.4774,253.5845,62.3476
16,0.1000,31.1304,52.2258,14.7724,0.4590,2.6459,0.6025,0.2724,0.8240,0.2363,47.1224,280.0473,66.5324,35.1018,254.9597,58.9315
17,0.0900,30.4240,46.7178,13.4494,0.4065,2.5415,0.5457,0.2678,0.7562,0.2315,43.2588,248.9210,60.6126,31.8160,236.7513,54.4979
18,0.0800,31.4882,51.8354,14.5801,0.4191,2.0983,0.4872,0.2776,0.7852,0.2331,39.5271,226.1021,54.8662,29.0885,198.1708,47.8816
19,0.0700,30.2696,40.4326,11.9115,0.3883,2.5148,0.5304,0.2572,0.7545,0.2273,31.1478,170.0048,43.0308,22.3527,161.3881,38.0351
20,0.0600,31.4226,52.6184,14.6890,0.4058,2.2011,0.5022,0.2626,0.7954,0.2330,27.9492,166.9498,40.1072,20.4021,153.7824,35.8508
21,0.0500,30.3026,39.4051,11.6005,0.3898,2.5864,0.5469,0.2596,0.7763,0.2352,22.5238,122.1682,31.2194,16.1489,115.9343,27.7342
22,0.0500,31.3137,50.3438,14.2401,0.3829,2.0446,0.4764,0.2504,0.7875,0.2297,22.3180,133.0873,32.4859,15.7628,117.2311,27.7799
23,0.0500,30.1237,42.2513,12.2211,0.3823,2.3770,0.5166,0.2528,0.7270,0.2249,22.5403,126.0382,31.4521,16.2607,119.6172,28.0626
24,0.0400,30.8278,46.0834,13.1948,0.3868,2.1170,0.4847,0.2594,0.8143,0.2355,18.5475,109.3164,26.6129,13.5988,103.1185,24.3349
25,0.0400,30.4303,41.3228,12.0214,0.3762,2.2558,0.4909,0.2534,0.7664,0.2245,17.9043,103.2709,25.1513,12.6788,97.0702,22.2406
26,0.0400,30.9892,44.9415,12.9886,0.3856,2.0637,0.4780,0.2579,0.8106,0.2379,18.3678,107.9666,26.4293,13.2599,95.8163,23.1025
27,0.0300,30.7380,41.7053,12.0656,0.3719,2.1821,0.4759,0.2543,0.7222,0.2215,13.4670,76.5743,18.8665,9.7114,73.6745,17.1510
28,0.0200,30.9727,44.6337,12.7385,0.3657,2.0195,0.4676,0.2483,0.7708,0.2317,8.8219,54.4805,13.0102,6.4346,50.4836,11.7523
29,0.0100,30.7136,40.0288,11.5140,0.3587,1.9628,0.4414,0.2520,0.7417,0.2235,4.4334,25.5135,6.2617,3.2434,24.2214,5.6908
30,0.0100,31.1409,44.5119,12.6630,0.3483,1.8682,0.4395,0.2382,0.7615,0.2270,4.1705,24.0493,5.9988,2.9651,21.2718,5.1898
