"loop","adjustment","price_mean","price_avg_range","price_avg_std","abs_spread_pct_mean","abs_spread_pct_avg_range","abs_spread_pct_avg_std","abs_spread_pct_adj_mean","abs_spread_pct_adj_avg_range","abs_spread_pct_adj_avg_std","abs_line_flow_adj_mean","abs_line_flow_adj_avg_range","abs_line_flow_adj_avg_std","abs_line_flow_change_mean","abs_line_flow_change_avg_range","abs_line_flow_change_avg_std"
0,0.0000,35.9389,120.9224,34.7894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1037.8770,4585.0417,1148.1255
1,0.6000,34.8167,88.4265,26.2637,0.5247,1.8718,0.4894,0.3845,0.8528,0.2791,454.8920,2113.1226,589.2665,424.1802,2109.6630,559.8856
2,0.5000,35.4199,97.8810,29.1865,0.4996,2.1687,0.5228,0.3609,0.8506,0.2581,338.6665,1835.3822,443.4448,319.0734,1551.8080,399.9337
3,0.4500,34.1722,93.4532,26.4154,0.5508,2.2415,0.5730,0.3824,0.8748,0.2793,308.0401,1602.7203,393.9278,293.4686,1493.8099,374.7622
4,0.4000,35.9287,104.3673,29.9701,0.5613,2.8499,0.6551,0.3737,0.8975,0.2774,278.7203,1726.9046,384.9213,249.7938,1542.5303,352.0347
5,0.3500,32.4043,75.2869,21.4303,0.5429,1.9586,0.5266,0.3826,0.8444,0.2755,250.7532,1312.3766,323.1908,230.7607,1260.0444,313.4725
6,0.3000,35.3624,90.5600,25.7963,0.5175,2.2647,0.5492,0.3649,0.8431,0.2634,202.8999,1166.4151,268.1357,173.0235,1050.3296,248.1094
7,0.2700,31.7594,71.9857,19.8915,0.5041,2.2878,0.5602,0.3545,0.8382,0.2667,169.5766,929.1913,224.1376,143.4457,878.2922,212.9713
8,0.2500,34.6550,87.4727,24.9430,0.4731,1.9259,0.4672,0.3531,0.8286,0.2566,160.0773,947.1476,215.9099,129.2059,828.9769,195.2026
9,0.2300,32.8792,74.4278,20.4287,0.4723,2.0547,0.4891,0.3496,0.8407,0.2595,143.4958,788.1618,186.2725,116.8032,743.1212,175.1013
10,0.2100,34.3052,76.3843,22.1108,0.4697,2.0369,0.4774,0.3475,0.8422,0.2586,129.4354,790.2437,176.4418,100.1736,691.8373,159.8561
11,0.1900,32.6000,77.3342,20.5543,0.3987,1.4300,0.3774,0.3168,0.7846,0.2469,107.7535,617.5738,144.7582,83.7416,583.1382,135.1816
12,0.1700,34.5301,79.0378,22.8309,0.4297,1.6527,0.4094,0.3348,0.8285,0.2564,103.0141,661.2635,145.2427,75.5547,578.4277,129.5923
13,0.1500,32.6971,71.4878,19.0149,0.3972,1.5447,0.3876,0.3157,0.8001,0.2459,83.5811,479.3345,111.8515,62.8589,462.4705,105.1980
14,0.1300,34.5062,77.8514,21.9014,0.3861,1.5498,0.3756,0.3090,0.8190,0.2451,71.4176,465.7352,101.7955,51.1154,431.7171,93.8215
15,0.1100,32.4110,70.2346,18.8280,0.3760,1.4896,0.3708,0.3021,0.8056,0.2442,58.7780,345.4412,80.9109,42.2587,331.5694,74.8337
16,0.1000,33.8639,66.9010,19.2466,0.3620,1.3630,0.3487,0.2939,0.7771,0.2379,51.9281,338.0280,74.3345,35.7437,307.7564,66.7538
17,0.0900,32.6596,67.4011,17.9140,0.3684,1.3661,0.3549,0.2992,0.7865,0.2411,46.0859,273.1006,63.3440,32.0402,260.6035,58.1463
18,0.0800,33.1427,63.0567,17.8552,0.3479,1.3627,0.3424,0.2841,0.7854,0.2337,39.8327,256.5051,56.7739,27.1044,237.9212,51.3585
19,0.0700,32.8452,65.8026,17.5651,0.3476,1.3952,0.3482,0.2842,0.7942,0.2364,34.6344,209.8508,48.2849,24.0724,199.9220,44.3964
20,0.0600,33.4199,62.7070,17.7717,0.3414,1.3183,0.3363,0.2811,0.7793,0.2333,30.1795,196.5337,43.4451,20.6168,180.3355,38.9525
21,0.0500,32.7176,62.8102,16.9090,0.3405,1.3758,0.3402,0.2797,0.7925,0.2337,24.2447,146.5890,33.8262,16.3778,139.9373,31.0724
22,0.0500,33.4663,63.2961,18.0289,0.3349,1.3820,0.3453,0.2730,0.7859,0.2339,24.3582,161.8093,35.6120,15.9088,148.5870,31.6848
23,0.0500,32.5519,62.5200,16.8523,0.3412,1.3901,0.3500,0.2779,0.7941,0.2378,23.9833,148.6266,33.9354,15.9958,141.2340,30.9464
24,0.0400,33.1436,57.7749,16.4710,0.3436,1.3699,0.3475,0.2796,0.7886,0.2356,19.5762,124.9235,27.8270,12.9862,114.9327,24.9245
25,0.0400,32.2908,58.8676,15.9524,0.3242,1.3172,0.3378,0.2671,0.7793,0.2331,18.6642,111.6211,25.9931,12.4438,105.7155,23.4769
26,0.0400,33.5724,62.6916,17.6629,0.3382,1.3788,0.3421,0.2760,0.7962,0.2328,19.5793,123.1517,27.7678,12.8387,112.3778,24.5862
27,0.0300,32.2758,57.8050,15.8041,0.3301,1.3648,0.3391,0.2710,0.7884,0.2318,13.7034,80.3409,18.7070,9.0925,76.8104,17.0084
28,0.0200,32.6593,50.4246,14.9414,0.3234,1.2978,0.3296,0.2662,0.7706,0.2274,9.1584,58.2101,12.9774,5.9216,54.7077,11.7291
29,0.0100,32.4905,54.2553,14.9559,0.3162,1.3418,0.3319,0.2611,0.7836,0.2276,4.3066,25.6094,5.9287,2.7845,24.3190,5.3107
30,0.0100,32.6573,50.7104,15.0018,0.3058,1.3539,0.3331,0.2513,0.7813,0.2247,4.2002,25.5982,5.8765,2.5889,24.3844,5.2115
